Date,Number of flights, ,,,,,,,,,,
25/03/2020,1071,,,,,,,,,,,
26/03/2020,1098,,,,,,,,,,,
27/03/2020,1053,,,,,,,,,,,
28/03/2020,733,,,,,,,,,,,
29/03/2020,706,,,,,,,,,,,
30/03/2020,658,,,,,,,,,,,
31/03/2020,677,,,,,,,,,,,
01/04/2020,680,,,,,,,,,,,
02/04/2020,642,,,,,,,,,,,
03/04/2020,667,,,,,,,,,,,
04/04/2020,465,,,,,,,,,,,
05/04/2020,462,,,,,,,,,,,
06/04/2020,506,,,,,,,,,,,
07/04/2020,564,,,,,,,,,,,
08/04/2020,591,,,,,,,,,,,
09/04/2020,563,,,,,,,,,,,
10/04/2020,473,,,,,,,,,,,
11/04/2020,341,,,,,,,,,,,
12/04/2020,346,,,,,,,,,,,
13/04/2020,353,,,,,,,,,,,
14/04/2020,501,,,,,,,,,,,
15/04/2020,563,,,,,,,,,,,
16/04/2020,585,,,,,,,,,,,
17/04/2020,553,,,,,,,,,,,
18/04/2020,391,,,,,,,,,,,
19/04/2020,399,,,,,,,,,,,
20/04/2020,542,,,,,,,,,,,
21/04/2020,530,,,,,,,,,,,
22/04/2020,613,,,,,,,,,,,
23/04/2020,602,,,,,,,,,,,
24/04/2020,602,,,,,,,,,,,
25/04/2020,417,,,,,,,,,,,
26/04/2020,406,,,,,,,,,,,
27/04/2020,561,,,,,,,,,,,
28/04/2020,564,,,,,,,,,,,
29/04/2020,642,,,,,,,,,,,
30/04/2020,643,,,,,,,,,,,
01/05/2020,611,,,,,,,,,,,
02/05/2020,416,,,,,,,,,,,
03/05/2020,474,,,,,,,,,,,
04/05/2020,585,,,,,,,,,,,
05/05/2020,603,,,,,,,,,,,
06/05/2020,714,,,,,,,,,,,
07/05/2020,678,,,,,,,,,,,
08/05/2020,573,,,,,,,,,,,
09/05/2020,432,,,,,,,,,,,
10/05/2020,513,,,,,,,,,,,
11/05/2020,638,,,,,,,,,,,
12/05/2020,659,,,,,,,,,,,
13/05/2020,697,,,,,,,,,,,
14/05/2020,694,,,,,,,,,,,
15/05/2020,707,,,,,,,,,,,
16/05/2020,486,,,,,,,,,,,
17/05/2020,497,,,,,,,,,,,
18/05/2020,684,,,,,,,,,,,
19/05/2020,658,,,,,,,,,,,
20/05/2020,761,,,,,,,,,,,
21/05/2020,692,,,,,,,,,,,
22/05/2020,696,,,,,,,,,,,
23/05/2020,562,,,,,,,,,,,
24/05/2020,554,,,,,,,,,,,
25/05/2020,628,,,,,,,,,,,
26/05/2020,750,,,,,,,,,,,
27/05/2020,820,,,,,,,,,,,
28/05/2020,729,,,,,,,,,,,
29/05/2020,841,,,,,,,,,,,
30/05/2020,553,,,,,,,,,,,
31/05/2020,551,,,,,,,,,,,
01/06/2020,714,,,,,,,,,,,
02/06/2020,819,,,,,,,,,,,
03/06/2020,891,,,,,,,,,,,
04/06/2020,888,,,,,,,,,,,
05/06/2020,939,,,,,,,,,,,
06/06/2020,694,,,,,,,,,,,
07/06/2020,728,,,,,,,,,,,
08/06/2020,793,,,,,,,,,,,
09/06/2020,772,,,,,,,,,,,
10/06/2020,834,,,,,,,,,,,
11/06/2020,780,,,,,,,,,,,
12/06/2020,844,,,,,,,,,,,
13/06/2020,555,,,,,,,,,,,
14/06/2020,617,,,,,,,,,,,
15/06/2020,863,,,,,,,,,,,
16/06/2020,831,,,,,,,,,,,
17/06/2020,884,,,,,,,,,,,
18/06/2020,903,,,,,,,,,,,
19/06/2020,933,,,,,,,,,,,
20/06/2020,612,,,,,,,,,,,
21/06/2020,731,,,,,,,,,,,
22/06/2020,998,,,,,,,,,,,
23/06/2020,950,,,,,,,,,,,
24/06/2020,1012,,,,,,,,,,,
25/06/2020,1054,,,,,,,,,,,
26/06/2020,1051,,,,,,,,,,,
27/06/2020,718,,,,,,,,,,,
28/06/2020,767,,,,,,,,,,,
29/06/2020,963,,,,,,,,,,,
30/06/2020,1023,,,,,,,,,,,
01/07/2020,1583,,,,,,,,,,,
02/07/2020,1556,,,,,,,,,,,
03/07/2020,1669,,,,,,,,,,,
04/07/2020,1337,,,,,,,,,,,
05/07/2020,1413,,,,,,,,,,,
06/07/2020,1602,,,,,,,,,,,
07/07/2020,1533,,,,,,,,,,,
08/07/2020,1606,,,,,,,,,,,
09/07/2020,1691,,,,,,,,,,,
10/07/2020,1907,,,,,,,,,,,
11/07/2020,1548,,,,,,,,,,,
12/07/2020,1594,,,,,,,,,,,
13/07/2020,1698,,,,,,,,,,,
14/07/2020,1676,,,,,,,,,,,
15/07/2020,1881,,,,,,,,,,,
16/07/2020,2115,,,,,,,,,,,
17/07/2020,2264,,,,,,,,,,,
18/07/2020,1994,,,,,,,,,,,
19/07/2020,2030,,,,,,,,,,,
20/07/2020,2138,,,,,,,,,,,
21/07/2020,2044,,,,,,,,,,,
22/07/2020,2101,,,,,,,,,,,
23/07/2020,2166,,,,,,,,,,,
24/07/2020,2419,,,,,,,,,,,
25/07/2020,2223,,,,,,,,,,,
26/07/2020,2237,,,,,,,,,,,
27/07/2020,2156,,,,,,,,,,,
28/07/2020,2066,,,,,,,,,,,
29/07/2020,2163,,,,,,,,,,,
30/07/2020,2191,,,,,,,,,,,
31/07/2020,2529,,,,,,,,,,,
01/08/2020,2816,,,,,,,,,,,
02/08/2020,2765,,,,,,,,,,,
03/08/2020,2865,,,,,,,,,,,
04/08/2020,2499,,,,,,,,,,,
05/08/2020,2578,,,,,,,,,,,
06/08/2020,2687,,,,,,,,,,,
07/08/2020,2977,,,,,,,,,,,
08/08/2020,2688,,,,,,,,,,,
09/08/2020,2775,,,,,,,,,,,
10/08/2020,2832,,,,,,,,,,,
11/08/2020,2491,,,,,,,,,,,
12/08/2020,2544,,,,,,,,,,,
13/08/2020,2566,,,,,,,,,,,
14/08/2020,3018,,,,,,,,,,,
15/08/2020,2702,,,,,,,,,,,
16/08/2020,2779,,,,,,,,,,,
17/08/2020,2780,,,,,,,,,,,
18/08/2020,2502,,,,,,,,,,,
19/08/2020,2621,,,,,,,,,,,
20/08/2020,2712,,,,,,,,,,,
21/08/2020,2963,,,,,,,,,,,
22/08/2020,2726,,,,,,,,,,,
23/08/2020,2831,,,,,,,,,,,
24/08/2020,2922,,,,,,,,,,,
25/08/2020,2513,,,,,,,,,,,
26/08/2020,2694,,,,,,,,,,,
27/08/2020,2800,,,,,,,,,,,
28/08/2020,3154,,,,,,,,,,,
29/08/2020,2813,,,,,,,,,,,
30/08/2020,2954,,,,,,,,,,,
31/08/2020,3008,,,,,,,,,,,
01/09/2020,2702,,,,,,,,,,,
02/09/2020,2576,,,,,,,,,,,
03/09/2020,2726,,,,,,,,,,,
